Tanggal,Rating,Review
4 hours ago,5,ngabisin 2 botol serum ini dan cerahnya sangat lumayan terlihat. tekstur nya cair dan gampang menyerap juga. ada opsi 5% niacinamide untuk kulit sensitive. overall suka banget sama hasilnya apalagi di combine dengan bahan pencerah lain
6 days ago,1,"gasuka! lengket bangettt dan gaenak. cekat cekitt. mungkin karena kulit gua sensitif kali ya. gua udah pernah nyoba yg 5% juga buat awal. tapi ga bangettt. bukan bikin cerah tapi malah bikin kulit gua kusam. paling gasuka sama teksturnya, karena lengket betul"
20 Jan 2025,5,Best product and always purchase ❤️
18 Jan 2025,5,Sudah sering pakai tapi belum ada perubahan sih.. mungkin harus sampai habis kali ya biar tahu hasilnya gimana. Tapi sejauh ini ya belum keliatan apapun jadi ya tunggu aja deh sampai serumnya habis baru keliatan hasilnya. Untungnya sih gak ada efek negatif ke muka tp ya belum keliatan aja
18 Jan 2025,5,"Suka banget sama serum satu ini, karena bikin muka aku lebih cerah sekarang, awalnya mukaku lebih kusam dan gelap, tapi setelah rutin pke dengan rangkaian lainnya hasilnya jadi lebih maksimal dan lebih cerah lagi muka ku daripada sebelumnya .."
16 Jan 2025,5,"Honest review dari aku ini mantul banget buat nyerahin wajah, off course dari spot aku juga ikut memudar, also lembab juga di wajah. Dipakai under makeup pun mantul ya karena bikin makeup lebih nempel awet 💗"
13 Jan 2025,5,"Serum somethinc emg selalu bagussss!! Bisa mencerahkan kulit & memudarkan bekas jerawat. Buat Niacinamide 10% masih aman di kulit wajah aku. Mudah meresap juga di kulit, pokoknya suka banget!! Recommended😍"
11 Jan 2025,5,"pernah pake yg 5%, pernah juga yg 10% dan dua duanya nampol."
07 Jan 2025,5,Suka terksturenya. Bikin muka cerah dan lembab. Awal pakai yang 5% tapi di aku kurang nampol jadi beli yg 10 %nya dan di aku cocok banget. Gatau udah habis berapa botol karna udah lama makenya. Nyerahinnya bukan yang instan tapi sebotol dua botol tuh udah pasti
06 Jan 2025,5,"Ini adalah salah satu serum vitamin C ter da besttt di 2024. Sejauh ini aku pake bener-bener bikin cerah dikulita mukaku yang belang &kusam, muka aku oily & berjerawat bahkan ada bekas Pie di pipi tapi aman banget gak bikin breakout dan kemerahan"
01 Jan 2025,5,"Awalnya beli kemasan kecil, kemudian berlanjut beli kemasan besar (40 ml) saking suka dan cocoknya sama serum ini. Sempet dikomenin sama temen, wajah kelihatan lebih glowing, cerah, dan bersih semenjak rajin pakai serum ini. Kandungannya 10% Niacinamide + Sabi Beet Max yang diklaim bisa membantu kulit lebih cerah (dan benar seperti itu di aku). Serum ini juga bisa bikin kulit lebih lembab dan halus. Kemasanmya bentuk botol pump gitu, sayangnya, botolnya sendiri sudah berat (meskipun isinya sudah habis), jadi yang kemasan besar kurang cocok dibawa bepergian."
26 Dec 2024,5,"Waktu itu beli karena butuh kandungan Niacinamide, dan produk ini bagus bangett. Malamnya pakai ini, pagi bikin muka cerah dan glowing. menurutku untuk pemula ini oke banget dan bisa dicoba. Must Try."
21 Dec 2024,5,"Pakai produk ini bantu mencerahkan kulitku yg kusam, dan bantu memudarkan PIH. Teksturnya tidak terlalu kental, masih sedikit runny dan cepat meresap. Di kulitku enggak terasa perih walaupun persentase niacinamidenya 10%. Ragu dan baru mau coba? Saranku mulai dari yg 5%. Recommended."
17 Dec 2024,4,"aku lg nyoba buat pake niacinamide buat cerahin tapi aku blm pernah coba kandungan ini dan somethinc adalah yg pertama dan nekat bgt aku coba yg 10% gak yg 5% tapi wow di muka aku yg acne prone yg lagi struggling sama bekas pie dan banyak jerawat on-off ini cukup works sih dan gak buat breakout, buat cerahin ada bgt apalagi pas make malam bah paginya itu glowing loh biar banyak bekas jerawat, purely aku gaperna coba ingredient mencerahkan sebelumnya kek vit c dan niacinamide ini pun yg pertama kali aku coba"
11 Dec 2024,5,"Awal aku pakek serum ini sekitar tahun 2021, pemakaian selama sebulan aku notice bahwa muka aku cerahan dan gak kusem lagi! Dia bikin lembab jugaa, tahun ini aku pakek lagi dan masih samaa cuma hasilnya gak secepet yang pertama, mungkin karena aku pakek yang 5%, next mau nyoba yang 10%"
11 Dec 2024,5,"Awet sampe hampir 3 bulan karna aku pake cuman 3x seminggu, hasilnya cerah? bener sesuai klaim. Gak lupa aku juga rajin peeling jadi keliatan hasilnya. Serum ini aku gabung sama pemakaian skincare wardah aman aja yaa cocok untuk dimukakuu"
08 Dec 2024,5,"Skin concern aku tuh dry skin, as dry skin matter aku paling utama itu kulit badak, banyak skin care yang aku coba tapi gak mempan sama sekali, terutama serum2 viral dengan kandungan nicinamide sebagai brightening, dari yang harganya murah sampe yang mahal sekalipun gak mempan, memasuki umur 23 tahun aku mulai riset lagi dengan brand local, salah satu serum yang menarik buat aku cobain setelah baca ingredients dan beberapa reviewnya yaitu somethinc niacinamide + moisture sabi beet max brightening serum, emang sih butuh waktu untuk liat hasilnya tapi terbuktinya tuh gak gimmick, cerahnya beneran realistis aja kayak sewajarnya batas normal cerah kulit manusia, bukan yang cerah berlebihan, ini yang aku cari dan butuhkan selama ini, kulit cerah realistis, sehat dan long lasting, jadi paham yah kenapa brand local ini bisa bersaing banget di pasaran kosmetik indo yang lagi gak baik-baik aja."
08 Dec 2024,5,Bagus banget serum niacinimade pertama yang aku pakai dan sangat ampuh untuk muka mencerahkan sangat recommended sekali harga affordable dan juga gampang dicari tidak akan nyesel dan pasti akan selalu repurchase karna productnya sebagus itu
08 Dec 2024,4,"Serum yang bertekstur kental dan warna nya putih, mengandung niacinamade yang cocok untuk mencerahkan kulit, tidak membuat kulit kering, bruntusan dan berjerawat, efektif dalam mencerahkan kulit ku yang cukup badak, sayang nya botol kecil jadi cepet habis."
08 Dec 2024,5,"Aku pake dari taun 2019, gara gara dulu muka kusem bingung pake apa. Serum ini yang pertama kali bikin muka cerahan terutama bekas jerawat yang nyebelin baget suah ilang. Bener bener pengelamat bgt aku sukaa! udah beli ke botol 5 deh kayanyaaa best"
08 Dec 2024,5,Bagus dan cocok di muka..harga terjangkau.. cocok untuk semua jenis kulit dan membuat muka lebih cerah.. produk2 somethic the best pokok nya.. ga ada lawan...saya udah jadi customer tetep dari beberapa tahun lalu... kerennnn produk nya...
08 Dec 2024,5,"Produknya sangat bagus saya senang memakainya membuat muka cerah dan tidak kusamjanganproduksayabikinbaguscocok, Produknya sangat bagus saya senang memakainya membuat muka cerah dan tidak kusamjanganproduksayabikinbaguscocok"
08 Dec 2024,5,"Bener2 ngebantu mencerahkan, ringan, tp emg harus sabar pakenya. Murah merish top mantap is the best"
08 Dec 2024,4,"Bagus untuk muka yang berminyak dan berjerawat, harganya juga pas untuk saya pribadi. Pas juga untuk dipakai setiap harj sebum make up dan sebelum tidur. Cocok untuk semua usia, terimakasih somethinc membantu saya dalam meredakan kemerahan di muka"
08 Dec 2024,5,Serum yang lumayan gentle dan aku cocok ya teksture nya oke ga berat bisa di layering dengan serum lain yang terpenting bikin kulit wajah jadi super bersih no sebum kece banget pokoknya
08 Dec 2024,5,"Serum somethinc yang ini teksturnya light bgt, cepet meresap dan no fragrance jadi cocok untuk kulit sensitif. Selama 3 bulan make Serum ini ga nimbulin bruntusan sama sekali. Sejauh ini cukup mencerahkan kulit wajah dan bikin glowing love it"
08 Dec 2024,5,"Ini serum bagus yg aku pake selama setahun ini, aku beli waktu JxB 2023 dea dan pas nyoba cocok dipake di muka aku yg kombinasi berminyak dan kering. Kalau kalian lagi cari serum yg untuk mencerahkan bisa coba somethinc yang ini cocok banget pasti."
08 Dec 2024,5,"Serum ini membuat wajah cerah dan melembabkan, liquidnya cepat menyerap. Serum ini mengandum niacinamide dan sudah teruji. Selama 1 tahun memakai ini wajah saya terasa cerah dan mengurangi bekas jerawat, alhamdulillah cocok di pemakaian pertama"
08 Dec 2024,5,"Something Niacinamide dan moisture sabi beet cukup membantu melembabkan kulit dan menutrisi kulit. Kulit menjadi tampak terlihat cerah dan ternutrisi. Cocok untuk semua jenis kulit, mulai dari kering, berminyak. Sangat ringan prngaplikasiannya"
08 Dec 2024,5,"produk ini bagus untuk mencerahkan kulit, cocok untuk skintype apapun, tidak memberikan efek samping yang negatif, tidak mengandung fragrance dam tidak menimbulkan jerawat ataupun komedo, produk yang bagus sekali sangat recommended."
08 Dec 2024,5,"Produknya Gk ada yg gak bagus.. serum ini bikin wajah cerah dan gk kusam, udh beberapakalidi repurchase, dan pakai produk lainnya jg. Utk yg kusam cocok banget pakai ini, GK nyesal sih kalo beli ini, recommended banget serum dan produknya semua"
08 Dec 2024,5,"Aku tau produk ini karena saran temenku yg beauty blogger katanya bagus untuk menghilangkan noda hitam. Lalu aku cobain sekitar awal tahun, karena emang kondisi muka aku lagi banyak noda hitam dan juga kusam. Aku pakai selama 6 bulan dan alhamdulillah berkurang bangettt"
08 Dec 2024,5,"Aku pake produk ini udh hampir 3 tahun dan bagus banget karena emang sengaja itu di muka aku jd halus dan mulus dan bisa mengatasi bruntasan yang ada di muka ku, pokoknya aku selalu make niacenemed dari somethinck sampe udahh habis4botolyangbesar"
08 Dec 2024,5,**Penilaian Brand: **SOMETHINC**
08 Dec 2024,5,Serum somethinc ini udah pengen nyobain dari dulu yg viral bangett baru kesampean nya sekrng pemakaian udah abis sebotol teksturnya sedikit cair bening dan gak ada bau nya mengandung niacinamade 10% bikin wajahku jadi cerahan bikin lembab ngerasa banget pake ini jarang jerawatan 💞aku pake nya saat mlm hari aja pagi nya pake serum vit c dari somethinc ini juga
08 Dec 2024,5,"Bagus bikin cerah terbukti secara klinis membantu mencerahkan. Produk ini juga tidak lengket atau berminyak, yang berarti sangat mudah digunakan.  juga berfungsi sebagai pelembab, jadi Anda dapat melewatka jika mau."
07 Dec 2024,5,"niacin somethinc the best sihh aku udh pake lama. cepet mengembalikan kulit kusam. waktu aku baru pulang dr bajo kulitku kusam bgt tapi ga pake lama krn serum ini jd balik lg kayak semula. bahkan mencerahkan dr sebelumnya, ya emg dia fungsinya mencerahkan juga kan"
07 Dec 2024,5,"Somethinc Niacinamide + Moisture Sabi Beet Serum efektif mencerahkan kulit, menyamarkan noda hitam, dan mengontrol minyak berlebih. Teksturnya ringan, cepat menyerap, dan cocok untuk semua jenis kulit. Harganya terjangkau dengan kualitas yang memuaskan."
